	shannon
SRS054989.576577	2.170265995431853
SRS022775.575137	2.158654324151608
SRS022777.576219	2.0305659194086787
SRS015613.571108	1.9806320740050705
SRS022709.575008	1.9618126508384814
SRS022773.572036	1.8800375899403774
SRS022588.571833	2.0854892054543037
SRS015615.576241	1.4650884852590444
SRS063755.575704	1.441253960196907
SRS057466.570488	1.5744227233907084
SRS050327.572233	3.022537375509271
SRS046640.571771	2.1668689671578396
SRS044898.575605	2.0450418688246317
SRS045915.575384	3.510612155105614
SRS044715.572723	1.6221395014914952
SRS044827.575929	2.936631853245888
SRS043338.573860	1.574078617491454
SRS056286.574469	3.071950128468883
SRS022010.571789	1.3353570124951943
SRS045746.571230	3.0315078661301316
SRS021215.573925	1.479135216737971
SRS056384.574809	1.739455001702434
SRS021217.573602	0.9848954186673222
SRS020032.575538	1.2142748592954877
SRS014625.572224	1.1578502544146974
SRS055113.570929	1.070643816047825
SRS022898.576231	3.298622751725224
SRS022263.576187	1.2907702175015032
SRS022201.576020	1.434680821954033
SRS022267.571449	1.169090888818136
SRS022265.574280	1.8218852743287273
SRS016557.571801	2.1844568697264743
SRS014629.571878	0.3980766557141997
SRS063992.575839	2.7201982579923745
SRS011617.571700	1.206357249796327
SRS019842.573676	0.8010512447754756
SRS065592.570995	1.426825871636066
SRS022135.570316	0.29880010861814826
SRS049372.572390	1.0450645818944464
SRS043799.572950	2.333517405210059
SRS065457.574236	1.9061572300058038
SRS016219.573473	2.3242059676046734
SRS015421.570838	1.7750753354884317
SRS021103.575705	2.7827651012874752
SRS017563.571949	1.0841725888064504
SRS063942.575535	1.5219147155546375
SRS015425.571374	1.768641265061697
SRS011584.574005	0.5020481179635466
SRS014446.576373	1.3182249570969444
SRS011617.570928	1.2354633426629733
SRS021283.572847	2.0873990054241744
SRS016215.575763	2.982686814677943
SRS054372.574939	2.738448195102989
SRS047943.573451	1.8518578144121633
SRS042961.575559	3.2593287602961762
SRS046080.571937	1.5276506811873227
SRS065189.571926	2.2369323014899765
SRS056561.572138	1.9956254613609947
SRS057075.572156	1.8713441873170318
SRS062652.574017	1.8678396930181198
SRS064006.572670	2.001075961322953
SRS064784.575814	2.0426847981763965
SRS020388.575278	3.236687869065612
SRS064987.573782	1.5122821153233705
SRS063535.573702	1.8052542424604208
SRS016557.576559	2.142444140032477
SRS066188.573350	4.290969021831965
SRS064015.574989	2.11068583761748
SRS063827.570637	5.1441054653538645
SRS011586.574634	5.562441436100916
SRS043675.572127	5.937468863463565
SRS014923.575333	5.932841498930448
